problem_sha256,applied_params_hash,status,elapsed_ms,num_variables,num_bool,num_int,num_constraints,num_workers,num_conflicts,num_branches,deterministic_time
68047eeb3643ffa54ee8e6b29d0ca3135b12f9e0f2e30d4b325f2a5a6509bfd5,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,6177.95,1850,1257,593,21892,8,9621,78066,7.52872
6afa1f30ddaf73d8dfed7146c9365683a3a702aee80c07ab24b35a83bbf815a4,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,8337.47,2569,1783,786,30868,8,8099,54889,9.44203
6c96fe64d8a7e248bb211262d15a9e02c33afd67841b876ec22da92430ea1d4a,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,25432.1,5079,3597,1482,60360,8,6756,89096,21.9653
6dc3e7cdbc74f23ff22a0eecbde5e1ed26d05cf56459a1ae169419068718c3c4,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,11102,3224,2288,936,38398,8,8139,51136,10.2641
6e93a1a5f114fdfc007b30330e24aa1325660433aaa0794f76ef4848de4580d5,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,35243,4806,3325,1481,59330,8,8004,101869,27.7665
724e539c591651e646f2e89f9000b6a040742aa2d989582166ac52e3e7b4a6e0,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,7005.63,2583,1793,790,30688,8,7454,30337,7.26527
76e68a1cce648c8d73748c810c88f2507f97759063e97d60bdeba8b7450c75d4,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,11335.8,3372,2442,930,39592,8,7197,73086,10.5849
80d93f459a3aba9b087940fc2f7fbb31d50402f34005177a89face29ebb3adb8,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,7324.51,2781,1832,949,34339,8,2652,42931,6.39323
835ae7284c43b2522947ad7ad0b1f26429793b7fff94b7a612ea3a1dc548df57,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,14852.3,4117,2621,1496,52655,8,2578,54841,10.5804
83b70413e9333ce9f4929c450b14e28d2b6e4ec28401d68b4b7d59c76c82d8ee,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,19100.3,5366,3525,1841,67897,8,1969,65039,11.3871
865f1171e901d275edb5a10c40d9288ec08619127220e643e36ae1ebee2903b2,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,486.785,715,461,254,7765,8,857,20375,0.227804
86b1bf9b38f98be62d7509c448ea0dfd7197af45620ba4b50960bf15254309bf,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,8341.89,2326,1531,795,28510,8,6602,46102,8.95567
8897295c1a1d2153b3e64712ad6cf8fef4812ff8f7419cf217ba26f03e246f24,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,1085.03,1325,878,447,14985,8,160,4817,0.865913
8d20d7075f0bbe969941be96f336c7f87d3f16fbdb80ed42d6c64c0ff25da1ad,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,77312.6,8588,6402,2186,98356,8,11524,137190,54.7198
8da21152ae4db83b1c03c6d8f8c508ef8b8aa00294095638c498f2bef8daa862,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,24823.8,5277,3652,1625,61389,8,4444,94321,18.7105
