problem_sha256,applied_params_hash,seed,solver,path,z3_version,result,elapsed_ms,num_variables,num_bool,num_int,num_real,num_hard_constraints,num_soft_constraints,num_minimize_objectives,num_maximize_objectives,cli_effort,cli_tech,cli_process,cli_solver_iter_timeout,cli_use_reboot,cli_optimize_m1,cli_optimize_m2,cli_num_of_heights,z3_conflicts,z3_decisions,z3_propagations,z3_final_checks,z3_num_checks,z3_max_memory_mb,z3_time_s,z3_rlimit_count,smt2_filename,smt2_path,meta_path,error
7ac5a84f68bc6e1488f9c6074a42505a6c95fa8df4f615c4a0ae54359dd3b416,543b29ed8f75ba2d0c54a5409cce4ee23f2d54d221a09c0cca667e1b31ffcec6,0,z3,primary,4.13.3.0,Unsat,14992,32912,19654,13218,40,105784,2047,0,0,low,sf4lpp,sf4lpp,3600.0,False,False,False,1,28,146,156475,,1,4320.64,14.992,20732604,7ac5a84f68bc6e1488f9c6074a42505a6c95fa8df4f615c4a0ae54359dd3b416.smt2,/Users/heedeok.son/workspace/openevolve/input/z3-bench/raw-data/7ac5a84f68bc6e1488f9c6074a42505a6c95fa8df4f615c4a0ae54359dd3b416.smt2,/Users/heedeok.son/workspace/openevolve/input/z3-bench/raw-data/7ac5a84f68bc6e1488f9c6074a42505a6c95fa8df4f615c4a0ae54359dd3b416__543b29ed8f75ba2d__seed0.meta.jsonl,
7d51ef2bfc4c3e45350aa61d7585a4c562f3c13412b841fd4de9830a052ca385,543b29ed8f75ba2d0c54a5409cce4ee23f2d54d221a09c0cca667e1b31ffcec6,0,z3,primary,4.13.3.0,Sat,40558,59955,32107,27810,38,524936,1455,0,0,low,sf4lpp,sf4lpp,3600.0,False,False,False,2,8858,242490,69339814,37,38,2491.74,40.558,147263647,7d51ef2bfc4c3e45350aa61d7585a4c562f3c13412b841fd4de9830a052ca385.smt2,/Users/heedeok.son/workspace/openevolve/input/z3-bench/raw-data/7d51ef2bfc4c3e45350aa61d7585a4c562f3c13412b841fd4de9830a052ca385.smt2,/Users/heedeok.son/workspace/openevolve/input/z3-bench/raw-data/7d51ef2bfc4c3e45350aa61d7585a4c562f3c13412b841fd4de9830a052ca385__543b29ed8f75ba2d__seed0.meta.jsonl,
7f7b5c632ef82955fa7e13961d897ffb114e76ca4e2d183d7178639c3218af1b,543b29ed8f75ba2d0c54a5409cce4ee23f2d54d221a09c0cca667e1b31ffcec6,0,z3,primary,4.13.3.0,Sat,181205,83621,45066,38505,50,696736,2139,0,0,low,sf4lpp,sf4lpp,3600.0,False,False,False,2,48772,603760,540204864,46,47,4675.71,181.205,925944306,7f7b5c632ef82955fa7e13961d897ffb114e76ca4e2d183d7178639c3218af1b.smt2,/Users/heedeok.son/workspace/openevolve/input/z3-bench/raw-data/7f7b5c632ef82955fa7e13961d897ffb114e76ca4e2d183d7178639c3218af1b.smt2,/Users/heedeok.son/workspace/openevolve/input/z3-bench/raw-data/7f7b5c632ef82955fa7e13961d897ffb114e76ca4e2d183d7178639c3218af1b__543b29ed8f75ba2d__seed0.meta.jsonl,
86468fd861ffa391b567ca57dc57c9b95b8577942d3fd2587e244073bdee43ef,543b29ed8f75ba2d0c54a5409cce4ee23f2d54d221a09c0cca667e1b31ffcec6,0,z3,primary,4.13.3.0,Sat,15671,33068,19738,13290,40,106100,2059,0,0,low,sf4lpp,sf4lpp,3600.0,False,False,False,1,207,7280,1095466,44,45,4318.34,15.671,24227973,86468fd861ffa391b567ca57dc57c9b95b8577942d3fd2587e244073bdee43ef.smt2,/Users/heedeok.son/workspace/openevolve/input/z3-bench/raw-data/86468fd861ffa391b567ca57dc57c9b95b8577942d3fd2587e244073bdee43ef.smt2,/Users/heedeok.son/workspace/openevolve/input/z3-bench/raw-data/86468fd861ffa391b567ca57dc57c9b95b8577942d3fd2587e244073bdee43ef__543b29ed8f75ba2d__seed0.meta.jsonl,
86efb0762e6d99d9ade8f6718be01a366a53704b6ee199bf0e91af310c68d6f3,543b29ed8f75ba2d0c54a5409cce4ee23f2d54d221a09c0cca667e1b31ffcec6,0,z3,primary,4.13.3.0,Sat,80512,83621,45066,38505,50,696736,2139,0,0,low,sf4lpp,sf4lpp,3600.0,False,False,False,2,12501,340795,150689373,31,32,4677.0,80.512,326014276,86efb0762e6d99d9ade8f6718be01a366a53704b6ee199bf0e91af310c68d6f3.smt2,/Users/heedeok.son/workspace/openevolve/input/z3-bench/raw-data/86efb0762e6d99d9ade8f6718be01a366a53704b6ee199bf0e91af310c68d6f3.smt2,/Users/heedeok.son/workspace/openevolve/input/z3-bench/raw-data/86efb0762e6d99d9ade8f6718be01a366a53704b6ee199bf0e91af310c68d6f3__543b29ed8f75ba2d__seed0.meta.jsonl,
872cbdb83f738a59db803c6c998facb249d5e4a7b082adda9c16997cd3b19e22,543b29ed8f75ba2d0c54a5409cce4ee23f2d54d221a09c0cca667e1b31ffcec6,0,z3,primary,4.13.3.0,Sat,1298,10244,5621,4609,14,59387,383,0,0,low,sf4lpp,sf4lpp,3600.0,False,False,False,1,204,2761,350767,7,8,296.1,1.298,7471692,872cbdb83f738a59db803c6c998facb249d5e4a7b082adda9c16997cd3b19e22.smt2,/Users/heedeok.son/workspace/openevolve/input/z3-bench/raw-data/872cbdb83f738a59db803c6c998facb249d5e4a7b082adda9c16997cd3b19e22.smt2,/Users/heedeok.son/workspace/openevolve/input/z3-bench/raw-data/872cbdb83f738a59db803c6c998facb249d5e4a7b082adda9c16997cd3b19e22__543b29ed8f75ba2d__seed0.meta.jsonl,
8a304b9c461ac8f19ce464b71010e8ef043d1ee4b857a60d871941a168fea59a,543b29ed8f75ba2d0c54a5409cce4ee23f2d54d221a09c0cca667e1b31ffcec6,0,z3,primary,4.13.3.0,Sat,3053,17043,9303,7722,18,112796,546,0,0,low,sf4lpp,sf4lpp,3600.0,False,False,False,1,604,9551,1273438,7,8,619.29,3.053,11627096,8a304b9c461ac8f19ce464b71010e8ef043d1ee4b857a60d871941a168fea59a.smt2,/Users/heedeok.son/workspace/openevolve/input/z3-bench/raw-data/8a304b9c461ac8f19ce464b71010e8ef043d1ee4b857a60d871941a168fea59a.smt2,/Users/heedeok.son/workspace/openevolve/input/z3-bench/raw-data/8a304b9c461ac8f19ce464b71010e8ef043d1ee4b857a60d871941a168fea59a__543b29ed8f75ba2d__seed0.meta.jsonl,
96158dd28c0bfa150bffb4e0a6bcd7689cb8fa3d041af533c002004b5c1aec4d,543b29ed8f75ba2d0c54a5409cce4ee23f2d54d221a09c0cca667e1b31ffcec6,0,z3,primary,4.13.3.0,Unsat,33160,99809,52910,46851,48,1095737,1923,0,0,low,sf4lpp,sf4lpp,3600.0,False,False,False,2,54,288,336058,,1,4757.86,33.16,67537967,96158dd28c0bfa150bffb4e0a6bcd7689cb8fa3d041af533c002004b5c1aec4d.smt2,/Users/heedeok.son/workspace/openevolve/input/z3-bench/raw-data/96158dd28c0bfa150bffb4e0a6bcd7689cb8fa3d041af533c002004b5c1aec4d.smt2,/Users/heedeok.son/workspace/openevolve/input/z3-bench/raw-data/96158dd28c0bfa150bffb4e0a6bcd7689cb8fa3d041af533c002004b5c1aec4d__543b29ed8f75ba2d__seed0.meta.jsonl,
a4658d3a051a31bc6d19ea051195dacfaaea52a34530d63756eab51df3168f97,543b29ed8f75ba2d0c54a5409cce4ee23f2d54d221a09c0cca667e1b31ffcec6,0,z3,primary,4.13.3.0,Sat,597,5854,3276,2568,10,25205,293,0,0,low,sf4lpp,sf4lpp,3600.0,False,False,False,1,82,2016,86665,20,21,88.85,0.597,1861058,a4658d3a051a31bc6d19ea051195dacfaaea52a34530d63756eab51df3168f97.smt2,/Users/heedeok.son/workspace/openevolve/input/z3-bench/raw-data/a4658d3a051a31bc6d19ea051195dacfaaea52a34530d63756eab51df3168f97.smt2,/Users/heedeok.son/workspace/openevolve/input/z3-bench/raw-data/a4658d3a051a31bc6d19ea051195dacfaaea52a34530d63756eab51df3168f97__543b29ed8f75ba2d__seed0.meta.jsonl,
a47edaf1aecb80c732ed45ddfc8a6f2a665f0ac175af4982158e7af567d60d1c,543b29ed8f75ba2d0c54a5409cce4ee23f2d54d221a09c0cca667e1b31ffcec6,0,z3,primary,4.13.3.0,Sat,2343,17097,9331,7748,18,112978,548,0,0,low,sf4lpp,sf4lpp,3600.0,False,False,False,1,386,7695,1195002,13,14,619.16,2.343,13786897,a47edaf1aecb80c732ed45ddfc8a6f2a665f0ac175af4982158e7af567d60d1c.smt2,/Users/heedeok.son/workspace/openevolve/input/z3-bench/raw-data/a47edaf1aecb80c732ed45ddfc8a6f2a665f0ac175af4982158e7af567d60d1c.smt2,/Users/heedeok.son/workspace/openevolve/input/z3-bench/raw-data/a47edaf1aecb80c732ed45ddfc8a6f2a665f0ac175af4982158e7af567d60d1c__543b29ed8f75ba2d__seed0.meta.jsonl,
